County,STATE,Residents Total All Deaths,Residents Total COVID-19 Deaths
Philadelphia,PA,2292.0,1087.0
Montgomery,PA,1515.0,937.0
Montgomery,PA,1568.0,914.0
Philadelphia,PA,1343.0,905.0
Berks,PA,1037.0,540.0
Philadelphia,PA,921.0,535.0
Delaware,PA,695.0,503.0
Chester,PA,643.0,490.0
Carbon,PA,614.0,457.0
Montgomery,PA,554.0,392.0
Bucks,PA,416.0,368.0
Dauphin,PA,580.0,360.0
Lehigh,PA,478.0,321.0
Lancaster,PA,632.0,318.0
Lackawanna,PA,300.0,315.0
Allegheny,PA,855.0,308.0
Northampton,PA,487.0,232.0
Cumberland,PA,433.0,215.0
Bucks,PA,246.0,201.0
Luzerne,PA,707.0,185.0
Delaware,PA,336.0,183.0
Chester,PA,530.0,167.0
Monroe,PA,217.0,147.0
Lackawanna,PA,255.0,145.0
Bucks,PA,172.0,136.0
Westmoreland,PA,460.0,133.0
Columbia,PA,225.0,126.0
Dauphin,PA,213.0,124.0
Lycoming,PA,174.0,123.0
Schuylkill,PA,336.0,98.0
Franklin,PA,120.0,89.0
Lackawanna,PA,214.0,84.0
Beaver,PA,148.0,74.0
Delaware,PA,137.0,67.0
Chester,PA,77.0,65.0
Dauphin,PA,81.0,58.0
Lancaster,PA,75.0,48.0
Susquehanna,PA,76.0,31.0
York,PA,389.0,31.0
Susquehanna,PA,64.0,27.0
Schuylkill,PA,236.0,21.0
Allegheny,PA,757.0,17.0
Lebanon,PA,58.0,17.0
Clearfield,PA,97.0,12.0
Cumberland,PA,381.0,8.0
Berks,PA,161.0,8.0
York,PA,536.0,7.0
Erie,PA,27.0,7.0
Schuylkill,PA,28.0,6.0
Snyder,PA,35.0,1.0
Franklin,PA,6.0,0.0
Bedford,PA,132.0,0.0
Perry,PA,336.0,0.0
Butler,PA,52.0,0.0
Butler,PA,74.0,0.0
Bradford,PA,41.0,0.0
Pike,PA,5.0,0.0
Blair,PA,190.0,0.0
Blair,PA,294.0,0.0
Somerset,PA,84.0,0.0
Somerset,PA,6.0,0.0
Sullivan,PA,18.0,0.0
Blair,PA,201.0,0.0
Susquehanna,PA,2.0,0.0
Cambria,PA,107.0,0.0
Tioga,PA,116.0,0.0
Union,PA,10.0,0.0
Union,PA,3.0,0.0
Washington,PA,23.0,0.0
Washington,PA,104.0,0.0
Washington,PA,13.0,0.0
Wayne,PA,223.0,0.0
Wayne,PA,78.0,0.0
Bedford,PA,35.0,0.0
Westmoreland,PA,39.0,0.0
Westmoreland,PA,83.0,0.0
Armstrong,PA,14.0,0.0
York,PA,6023.0,0.0
Northampton,PA,32.0,0.0
Montour,PA,254.0,0.0
Franklin,PA,33.0,0.0
Montour,PA,2.0,0.0
Greene,PA,4.0,0.0
Huntingdon,PA,45.0,0.0
Indiana,PA,88.0,0.0
Jefferson,PA,136.0,0.0
Juniata,PA,928.0,0.0
Juniata,PA,47.0,0.0
Adams,PA,59.0,0.0
Forest,PA,60.0,0.0
Fayette,PA,3.0,0.0
Crawford,PA,70.0,0.0
Lancaster,PA,119.0,0.0
Lawrence,PA,12.0,0.0
Lawrence,PA,148.0,0.0
Columbia,PA,3.0,0.0
Clinton,PA,219.0,0.0
Clearfield,PA,3.0,0.0
Luzerne,PA,161.0,0.0
Luzerne,PA,164.0,0.0
Lycoming,PA,113.0,0.0
Clearfield,PA,75.0,0.0
Mercer,PA,9.0,0.0
Mercer,PA,114.0,0.0
Mifflin,PA,46.0,0.0
Clarion,PA,1.0,0.0
Centre,PA,55.0,0.0
Carbon,PA,13.0,0.0
Cambria,PA,61.0,0.0
Adams,PA,128.0,0.0
